Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$19.16,0.11,0.577%,39245792.00,United States,,1514,Finance,Investment Managers
AAU,Almaden Minerals Ltd. Common Shares,$0.4851,-0.0149,-2.98%,66566105.00,Canada,2015,732648,Basic Industries,Precious Metals
ACU,Acme United Corporation. Common Stock,$43.99,0.38,0.871%,153240353.00,United States,1988,3169,Consumer Durables,Home Furnishings
ACY,AeroCentury Corp. Common Stock,$9.50,0.10,1.064%,14685898.00,United States,,41186,Technology,Diversified Commercial Services
ADRA,Adara Acquisition Corp. Class A Common Stock,$9.73,0.02,0.206%,139868750.00,United States,2021,704,,
AE,Adams Resources & Energy Inc. Common Stock,$27.485,-0.175,-0.633%,116839147.00,United States,,3404,Energy,Oilfield Services/Equipment
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$9.0107,0.0307,0.342%,457309046.00,United States,,9394,,
AGE,AgeX Therapeutics Inc. Common Stock,$1.442,-0.048,-3.221%,54702397.00,,2018,33457,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.1175,0.0075,0.355%,84043600.00,United States,,231446,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$19.155,-0.205,-1.059%,57649712.00,United States,2014,6459,Consumer Services,Professional Services
AIRI,Air Industries Group Common Stock,$1.19,-0.03,-2.459%,38124681.00,United States,,49116,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$2.3027,-0.0073,-0.316%,53477145.00,China,,55058,Miscellaneous,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$1.86,-0.02,-1.064%,363981778.00,United States,,724176,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$2.67,-0.12,-4.301%,15488670.00,United States,,118737,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$95.55,2.10,2.247%,663811553.00,United States,2020,268962,Health Care,Major Pharmaceuticals
APT,Alpha Pro Tech Ltd. Common Stock,$7.77,0.13,1.702%,103591590.00,Canada,,133009,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$4.14,-0.04,-0.957%,103253430.00,United States,,870,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.203,0.023,1.949%,121344257.00,Canada,,729640,,
ASXC,Asensus Surgical Inc. Common Stock,$3.0703,-0.1297,-4.053%,716057878.00,United States,,6156597,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$7.81,-0.22,-2.74%,157721927.00,United States,,139291,Health Care,Major Pharmaceuticals
AUMN,Golden Minerals Company Common Stock,$0.6567,-0.0519,-7.324%,106693794.00,United States,,503596,,
AWX,Avalon Holdings Corporation Common Stock,$4.355,0.065,1.515%,16982022.00,United States,,6794,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$2.62,-0.01,-0.38%,394787427.00,Canada,,840725,Basic Industries,Precious Metals
BATL,Battalion Oil Corporation Common Stock,$13.5535,0.3835,2.912%,220482876.00,,,20848,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$31.234,-0.056,-0.179%,172342528.00,United States,,3484,,
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.55,-0.0013,-0.005%,,United States,,1003,,
BDL,Flanigan's Enterprises Inc. Common Stock,$33.64,0.81,2.467%,62524885.00,United States,,5031,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$1.2289,-0.0111,-0.895%,14698265.00,United States,,94002,Capital Goods,Industrial Machinery/Components
BGI,Birks Group Inc. Common Stock,$2.38,0.04,1.709%,43622884.00,Canada,,81274,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$27.02,1.31,5.095%,404632606.00,United States,,31036,Finance,Major Banks
BKTI,BK Technologies Corporation Common Stock,$2.9091,-0.0409,-1.386%,48831341.00,United States,,177737,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$12.30,0.03,0.244%,150064649.00,,2018,27105,Technology,EDP Services
BRBS,Blue Ridge Bankshares Inc. Common Stock,$17.53,0.36,2.097%,489649608.00,,,65339,Finance,Commercial Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$9.99,0.54,5.714%,282640417.00,,2014,241222,Consumer Services,Real Estate Investment Trusts
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.49,0.01,0.039%,,,,1400,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.50,0.015,0.059%,,,,5820,,
BRN,Barnwell Industries Inc. Common Stock,$3.005,0.135,4.704%,24872866.00,United States,,923318,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$4.46,0.09,2.059%,4691691331.00,Canada,,3101875,Basic Industries,Precious Metals
BTN,Ballantyne Strong Inc. Common Stock,$4.62,0.02,0.435%,84553133.00,United States,,22333,Miscellaneous,Industrial Machinery/Components
BTX,Brooklyn ImmunoTherapeutics Inc. Common Stock,$15.64,-0.31,-1.944%,667588364.00,United States,,1819436,,
BWL/A,Bowl America Inc.,$9.001,-0.059,-0.651%,,United States,,39730,,
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.18,-0.10,-4.386%,37477564.00,Israel,,188306,Health Care,Major Pharmaceuticals
CCF,Chase Corporation Common Stock,$102.73,1.03,1.013%,970631153.00,United States,,7141,Basic Industries,Paints/Coatings
CDOR,Condor Hospitality Trust Inc. Common Stock,$5.15,0.53,11.472%,61938793.00,United States,,67291,Consumer Services,Real Estate Investment Trusts
CEI,Camber Energy Inc. Common Stock,$0.6549,0.0116,1.803%,38282379.00,United States,,7266794,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$41.67,0.64,1.56%,1093437593.00,United States,,30100,,
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$13.76,-0.02,-0.145%,98157992.00,United States,1999,9274,,
CHAQ,Chardan Healthcare Acquisition 2 Corp. Common Stock,$10.0002,0.00,0.00%,107785206.00,,2020,23,,
CHFW,Consonance-HFW Acquisition Corp. Class A Ordinary Shares,$9.899,-0.011,-0.111%,118134666.00,,2021,225,,
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.4986,0.0086,0.246%,182994025.00,United States,,708026,,
CIX,CompX International Inc. Common Stock,$21.73,0.01,0.046%,269477142.00,United States,1998,1795,Miscellaneous,Diversified Manufacture
CKX,CKX Lands Inc. Common Stock,$13.09,0.00,0.00%,25427260.00,United States,,57,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$11.295,0.115,1.029%,877310153.00,United States,1987,525862,,
CMCL,Caledonia Mining Corporation Plc Common Shares,$12.86,0.75,6.193%,155848064.00,Canada,,69951,Basic Industries,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$14.35,0.60,4.364%,121752245.00,United States,,84143,Consumer Durables,Electronic Components
COHN,Cohen & Company Inc.,$18.95,-1.19,-5.909%,25147351.00,United States,,33040,Finance,Investment Managers
CPHI,China Pharma Holdings Inc. Common Stock,$0.697,-0.0225,-3.127%,30374951.00,China,,157330,Health Care,Major Pharmaceuticals
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$43.35,-0.01,-0.023%,20982315682.00,United States,2007,66062,Public Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$11.0602,0.1702,1.563%,453950513.00,United States,,261902,,
CTEK,CynergisTek Inc. Common Stock,$2.00,0.05,2.564%,24241396.00,United States,2017,40357,Technology,Retail: Computer Software & Peripheral Equipment
CVM,Cel-Sci Corporation Common Stock,$22.465,0.295,1.331%,955415445.00,United States,,524715,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$26.32,0.32,1.231%,25428594.00,United States,,450,Consumer Non-Durables,Industrial Specialties
CVU,CPI Aerostructures Inc. Common Stock,$3.365,-0.065,-1.895%,41154916.00,United States,,27990,Capital Goods,Military/Government/Technical
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.515,0.005,0.199%,260321116.00,United States,1998,171546,,
DIT,AMCON Distributing Company Common Stock,$144.62,-1.14,-0.782%,79738985.00,United States,,551,Consumer Non-Durables,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$29.625,0.575,1.979%,206624303.00,United States,,5580,Consumer Non-Durables,Department/Specialty Retail Stores
DMF,BNY Mellon Municipal Income Inc. Common Stock,$9.15,0.02,0.219%,189880864.00,United States,1988,10930,,
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.295,-0.065,-4.779%,1042352533.00,Canada,,7604192,Basic Industries,Other Metals and Minerals
DPW,Ault Global Holdings Inc. Common Stock,$2.72,-0.02,-0.73%,135386743.00,United States,,2043664,Capital Goods,Industrial Machinery/Components
DSS,Document Security Systems Inc. Common Stock,$1.7017,0.0217,1.292%,113112212.00,United States,,4149925,Consumer Services,Recreational Products/Toys
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$1.455,-0.0549,-3.636%,30379217.00,China,,45512,Consumer Non-Durables,Apparel
DXR,Daxor Corporation Common Stock,$11.15,-0.27,-2.364%,44977729.00,United States,,1644,Health Care,Medical/Dental Instruments
EAD,Wells Fargo Income Opportunities Fund Common Shares,$8.72,0.03,0.345%,528311786.00,United States,2003,95150,,
ECF,Ellsworth Growth and Income Fund Ltd.,$14.43,0.05,0.348%,194797179.00,United States,1986,7893,,
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$25.93,-0.255,-0.974%,,United States,,815,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$13.715,0.015,0.109%,986837919.00,United States,2002,47844,,
ELA,Envela Corporation Common Stock,$5.10,-0.01,-0.196%,137314343.00,United States,,55590,Consumer Services,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$29.70,-0.43,-1.427%,381330982.00,Israel,,2930,Public Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$11.12,0.02,0.18%,96048110.00,United States,2011,25273,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,$3.73,-0.14,-3.618%,269570558.00,United States,,638088,Capital Goods,Industrial Machinery/Components
EMX,EMX Royalty Corporation Common Shares (Canada),$3.055,0.145,4.983%,261648982.00,Canada,,138856,Basic Industries,Precious Metals
ENSV,Enservco Corporation Common Stock,$1.5113,0.0513,3.514%,17278279.00,United States,,324776,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$12.95,0.05,0.388%,234631907.00,United States,2002,6529,,
EPM,Evolution Petroleum Corporation Inc. Common Stock,$4.86,0.03,0.621%,162846217.00,United States,,79499,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$8.015,0.145,1.842%,2395486996.00,Canada,,1132017,Basic Industries,Precious Metals
ERC,Wells Fargo Multi-Sector Income Fund Common Stock no par value,$12.9277,0.0177,0.137%,362849500.00,United States,2003,32800,,
ERH,Wells Fargo Utilities and High Income Fund,$14.10,-0.01,-0.071%,130867176.00,,2004,3454,,
ESP,Espey Mfg. & Electronics Corp. Common Stock,$15.25,0.35,2.349%,41215153.00,United States,,1293,Capital Goods,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$38.115,0.625,1.667%,207101816.00,United States,,9500,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$30.20,-1.42,-4.491%,370196825.00,United States,,32691,Capital Goods,Industrial Machinery/Components
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$12.01,0.03,0.25%,300182011.00,United States,2002,28502,,
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$13.17,0.07,0.534%,1529656227.00,United States,2003,335926,,
EVY,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,$15.107,-0.003,-0.02%,81605416.00,United States,1999,5134,,
EXN,Excellon Resources Inc. Common Shares,$2.4512,0.0212,0.872%,79376263.00,,2020,14533,Basic Industries,Precious Metals
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,$4.37,0.02,0.46%,1082430506.00,United States,1986,224743,,
FCO,Aberdeen Global Income Fund Inc. Common Stock,$8.96,0.11,1.243%,78277356.00,United States,1992,43367,,
FEN,First Trust Energy Income and Growth Fund,$14.652,0.232,1.609%,284916492.00,United States,2004,21789,,
FRD,Friedman Industries Inc. Common Stock,$14.021,0.171,1.235%,96826909.00,United States,,49706,Basic Industries,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$3.8399,0.2399,6.664%,47291233.00,Canada,,153862,Capital Goods,Recreational Products/Toys
FSP,Franklin Street Properties Corp. Common Stock,$5.335,0.175,3.391%,572595942.00,United States,,123525,Consumer Services,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$9.255,0.015,0.162%,278934918.00,United States,2003,75415,,
FTSI,FTS International Inc. Class A Common Stock,$26.94,1.19,4.621%,376889792.00,United States,2020,22670,Energy,Oilfield Services/Equipment
FURY,Fury Gold Mines Limited Common Shares,$1.22,-0.01,-0.813%,143875494.00,,2020,96382,Basic Industries,Precious Metals
GAU,Galiano Gold Inc.,$1.14,0.01,0.885%,256127358.00,Canada,,263997,Basic Industries,Precious Metals
GBR,New Concept Energy Inc Common Stock,$6.2344,0.8144,15.026%,31994529.00,United States,,2275894,Consumer Services,Real Estate
GDP,Goodrich Petroleum Corporation Common Stock,$12.49,0.76,6.479%,167394615.00,United States,2017,45260,Energy,Oil & Gas Production
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.96,0.20,5.319%,609761335.00,United States,2005,754230,,
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$25.4036,-0.0464,-0.182%,,United States,,411,,
GGO,The Gabelli Go Anywhere Trust Common Shares of Beneficial Interest,$16.2394,0.0294,0.181%,25121572.00,,2016,520,,
GGO^A,The Gabelli Go Anywhere Trust Series A Cumulative Puttable and Callable Preferred Shares,$40.45,0.00,0.00%,,,,22,,
